"RECORD #(ITEM)","RECORD #(HOLDINGS)",22,"BARCODE","245|a",130,,
"i275425459","c21926451","0300-7472","PB1011366","afterimage",,,
"i275425514","c21926451","0300-7472","PB1011367","afterimage",,,
"i275425526","c21926451","0300-7472","PB1011368","afterimage",,,
"i275425538","c21926451","0300-7472","PB1011369","afterimage",,,
"i27542554x","c21926451","0300-7472","PB1011370","afterimage",,,
"i275425551","c21926451","0300-7472","PB1011371","afterimage",,,
"i275425563","c21926451","0300-7472","PB1011372","afterimage",,,
"i275425575","c21926451","0300-7472","PB1011373","afterimage",,,
"i275425587","c21926451","0300-7472","PB1011374","afterimage",,,
"i275425599","c21926451","0300-7472","PB1011375","afterimage",,,
"i275425605","c21926451","0300-7472","PB1011376","afterimage",,,
"i275425617","c21926451","0300-7472","PB1011377","afterimage",,,
"i275425629","c21926451","0300-7472","PB1011378","afterimage",,,
"i275425630","c21926451","0300-7472","PB1011379","afterimage",,,
"i275425642","c21926451","0300-7472","PB1011380","afterimage",,,
"i275425654","c21926451","0300-7472","PB1011381","afterimage",,,
"i275425666","c21926451","0300-7472","PB1011382","afterimage",,,
"i275425678","c21926451","0300-7472","PB1011383","afterimage",,,
"i27542568x","c21926451","0300-7472","PB1011384","afterimage",,,
"i275425691","c21926451","0300-7472","PB1011385","afterimage",,,
"i275425708","c21926451","0300-7472","PB1011386","afterimage",,,
"i27542571x","c21926451","0300-7472","PB1011387","afterimage",,,
"i275425721","c21926451","0300-7472","PB1011388","afterimage",,,
"i275425745","c21926451","0300-7472","PB1011389","afterimage",,,
"i275425733","c21926451","0300-7472","PB1011390","afterimage",,,
"i275425757","c21926451","0300-7472","PB1011391","afterimage",,,
"i275425769","c21926451","0300-7472","PB1011392","afterimage",,,
"i275425770","c21926451","0300-7472","PB1011393","afterimage",,,
"i275425782","c21926451","0300-7472","PB1011394","afterimage",,,
"i275425794","c21926451","0300-7472","PB1011395","afterimage",,,
"i275425800","c21926451","0300-7472","PB1011396","afterimage",,,
"i275425812","c21926451","0300-7472","PB1011397","afterimage",,,
"i275425824","c21926451","0300-7472","PB1011398","afterimage",,,
"i275425836","c21926451","0300-7472","PB1011399","afterimage",,,
"i275425848","c21926451","0300-7472","PB1011400","afterimage",,,
"i275425861","c21926451","0300-7472","PB1011401","afterimage",,,
"i27542585x","c21926451","0300-7472","PB1011402","afterimage",,,
"i275425873","c21926451","0300-7472","PB1011403","afterimage",,,
"i275425885","c21926451","0300-7472","PB1011404","afterimage",,,
"i275425897","c21926451","0300-7472","PB1011405","afterimage",,,
"i275425903","c21926451","0300-7472","PB1011406","afterimage",,,
"i275425915","c21926451","0300-7472","PB1011407","afterimage",,,
"i275425927","c21926451","0300-7472","PB1011408","afterimage",,,
"i275425939","c21926451","0300-7472","PB1011409","afterimage",,,
"i275425940","c21926451","0300-7472","PB1011410","afterimage",,,
"i275425952","c21926451","0300-7472","PB1011411","afterimage",,,
"i275425964","c21926451","0300-7472","PB1011412","afterimage",,,
"i275425976","c21926451","0300-7472","PB1011413","afterimage",,,
"i275425988","c21926451","0300-7472","PB1011414","afterimage",,,
"i27542599x","c21926451","0300-7472","PB1011415","afterimage",,,
"i275426002","c21926451","0300-7472","PB1011416","afterimage",,,
"i275426014","c21926451","0300-7472","PB1011417","afterimage",,,
"i275426026","c21926451","0300-7472","PB1011418","afterimage",,,
"i275426038","c21926451","0300-7472","PB1011419","afterimage",,,
"i27542604x","c21926451","0300-7472","PB1011420","afterimage",,,
"i275426051","c21926451","0300-7472","PB1011421","afterimage",,,
"i275426063","c21926451","0300-7472","PB1011422","afterimage",,,
"i275426075","c21926451","0300-7472","PB1011423","afterimage",,,
"i275426087","c21926451","0300-7472","PB1011424","afterimage",,,
"i275426099","c21926451","0300-7472","PB1011425","afterimage",,,
"i275426154","c21926451","0300-7472","PB1011426","afterimage",,,
"i275426105","c21926451","0300-7472","PB1011427","afterimage",,,
"i275426117","c21926451","0300-7472","PB1011428","afterimage",,,
"i275426129","c21926451","0300-7472","PB1011429","afterimage",,,
"i275426130","c21926451","0300-7472","PB1011430","afterimage",,,
"i275426142","c21926451","0300-7472","PB1011431","afterimage",,,
"i275426166","c21926451","0300-7472","PB1011432","afterimage",,,
"i275426178","c21926451","0300-7472","PB1011433","afterimage",,,
"i27542618x","c21926451","0300-7472","PB1011434","afterimage",,,
"i275426191","c21926451","0300-7472","PB1011435","afterimage",,,
"i275426208","c21926451","0300-7472","PB1011436","afterimage",,,
"i27542621x","c21926451","0300-7472","PB1011437","afterimage",,,
"i275426221","c21926451","0300-7472","PB1011438","afterimage",,,
"i275426233","c21926451","0300-7472","PB1011439","afterimage",,,
"i275426257","c21926451","0300-7472","PB1011440","afterimage",,,
"i275426245","c21926451","0300-7472","PB1011441","afterimage",,,
"i275426269","c21926451","0300-7472","PB1011442","afterimage",,,
"i275426270","c21926451","0300-7472","PB1011443","afterimage",,,
"i275426282","c21926451","0300-7472","PB1011444","afterimage",,,
"i275426294","c21926451","0300-7472","PB1011445","afterimage",,,
"i275426300","c21926451","0300-7472","PB1011446","afterimage",,,
"i275426312","c21926451","0300-7472","PB1011447","afterimage",,,
"i275426324","c21926451","0300-7472","PB1011448","afterimage",,,
"i275426336","c21926451","0300-7472","PB1011449","afterimage",,,
"i275426348","c21926451","0300-7472","PB1011450","afterimage",,,
"i275426361","c21926451","0300-7472","PB1011451","afterimage",,,
"i275426373","c21926451","0300-7472","PB1011452","afterimage",,,
"i27542635x","c21926451","0300-7472","PB1011453","afterimage",,,
"i275426385","c21926451","0300-7472","PB1011454","afterimage",,,
"i275426415","c21926451","0300-7472","PB1011455","afterimage",,,
"i275426610","c21926451","0300-7472","PB1011456","afterimage",,,
"i275427146","c21926451","0300-7472","PB1012008","afterimage",,,
"i275427158","c21926451","0300-7472","PB1013216","afterimage",,,
"i27542716x","c21926451","0300-7472","PB1013232","afterimage",,,
"i275427195","c21926451","0300-7472","PB1015234","afterimage",,,
"i275427201","c21926451","0300-7472","PB1015235","afterimage",,,
"i275427213","c21926451","0300-7472","PB1015244","afterimage",,,
"i275427225","c21926451","0300-7472","PB1015262","afterimage",,,
"i275488846","c24610768",,"PB1015321","afterschool matters",,,
"i275454204","c24358630",,"PB1009998","afva bulletin",,,
"i275454216","c24358630",,"PB1010003","afva bulletin",,,
"i275454228","c24358630",,"PB1010004","afva bulletin",,,
"i27545423x","c24358630",,"PB1010005","afva bulletin",,,
"i275454241","c24358630",,"PB1010006","afva bulletin",,,
"i275454253","c24358630",,"PB1010007","afva bulletin",,,
"i275454265","c24358630",,"PB1010008","afva bulletin",,,
"i275454277","c24358630",,"PB1010009","afva bulletin",,,
"i275454289","c24358630",,"PB1010010","afva bulletin",,,
"i275454290","c24358630",,"PB1010011","afva bulletin",,,
"i275454307","c24358630",,"PB1010012","afva bulletin",,,
"i275454319","c24358630",,"PB1010013","afva bulletin",,,
"i275454320","c24358630",,"PB1010014","afva bulletin",,,
"i275454332","c24358630",,"PB1010015","afva bulletin",,,
"i275454344","c24358630",,"PB1010016","afva bulletin",,,
"i275454356","c24358630",,"PB1010017","afva bulletin",,,
"i275454368","c24358630",,"PB1010018","afva bulletin",,,
"i27545437x","c24358630",,"PB1010019","afva bulletin",,,
"i275454381","c24358630",,"PB1010020","afva bulletin",,,
"i275454393","c24358630",,"PB1010021","afva bulletin",,,
"i27545440x","c24358630",,"PB1010022","afva bulletin",,,
"i275454411","c24358630",,"PB1010023","afva bulletin",,,
"i275454423","c24358630",,"PB1010024","afva bulletin",,,
"i275454435","c24358630",,"PB1010025","afva bulletin",,,
"i275454447","c24358630",,"PB1010026","afva bulletin",,,
"i275454459","c24358630",,"PB1010027","afva bulletin",,,
"i275421193","c24475038",,"PB1009999","afva evaluations",,,
"i27542120x","c24475038",,"PB1010000","afva evaluations",,,
"i275421211","c24475038",,"PB1010001","afva evaluations",,,
"i275421223","c24475038",,"PB1010002","afva evaluations",,,
"i275447650","c17509634","1139-9635","PB1005309","agr",,,
"i275447923","c19639843","0568-7438","PB1010415","aktery sovetskogo kino",,,
"i275447935","c19639843","0568-7438","PB1010416","aktery sovetskogo kino",,,
"i275447893","c19639843","0568-7438","PB1010417","aktery sovetskogo kino",,,
"i27544790x","c19639843","0568-7438","PB1010418","aktery sovetskogo kino",,,
"i275447911","c19639843","0568-7438","PB1010419","aktery sovetskogo kino",,,
"i275447947","c19644139",,"PB1010396","aktery zarubezhnogo kino",,,
"i275424753","c22933852",,"PB1005310","almanacco cinema",,,
"i275463989","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011503","american cinematographer",,,
"i275463990","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011504","american cinematographer",,,
"i275464003","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011505","american cinematographer",,,
"i275464015","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011506","american cinematographer",,,
"i275464027","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011507","american cinematographer",,,
"i275464039","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011508","american cinematographer",,,
"i275464040","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011509","american cinematographer",,,
"i275464052","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011510","american cinematographer",,,
"i275464064","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011511","american cinematographer",,,
"i275464076","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011512","american cinematographer",,,
"i275464088","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011513","american cinematographer",,,
"i27546409x","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011514","american cinematographer",,,
"i275464106","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011515","american cinematographer",,,
"i275464118","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011516","american cinematographer",,,
"i27546412x","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011517","american cinematographer",,,
"i275464131","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011518","american cinematographer",,,
