"RECORD #(ITEM)","RECORD #(HOLDINGS)",22,"BARCODE","245|a",130,,
"i275427341","c17728885","0270-5346 0270-5346 1","PB1008715","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427353","c17728885","0270-5346 0270-5346 1","PB1008716","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427365","c17728885","0270-5346 0270-5346 1","PB1008717","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427377","c17728885","0270-5346 0270-5346 1","PB1008718","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427389","c17728885","0270-5346 0270-5346 1","PB1008719","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427390","c17728885","0270-5346 0270-5346 1","PB1008720","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427407","c17728885","0270-5346 0270-5346 1","PB1008721","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427419","c17728885","0270-5346 0270-5346 1","PB1008722","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427420","c17728885","0270-5346 0270-5346 1","PB1008723","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427432","c17728885","0270-5346 0270-5346 1","PB1008724","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427444","c17728885","0270-5346 0270-5346 1","PB1008725","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427456","c17728885","0270-5346 0270-5346 1","PB1008726","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427468","c17728885","0270-5346 0270-5346 1","PB1008727","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i27542747x","c17728885","0270-5346 0270-5346 1","PB1008728","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427481","c17728885","0270-5346 0270-5346 1","PB1008729","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427493","c17728885","0270-5346 0270-5346 1","PB1008730","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i27542750x","c17728885","0270-5346 0270-5346 1","PB1008731","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427511","c17728885","0270-5346 0270-5346 1","PB1008732","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427523","c17728885","0270-5346 0270-5346 1","PB1008733","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427535","c17728885","0270-5346 0270-5346 1","PB1008734","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427547","c17728885","0270-5346 0270-5346 1","PB1008735","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427559","c17728885","0270-5346 0270-5346 1","PB1008736","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427560","c17728885","0270-5346 0270-5346 1","PB1008737","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427572","c17728885","0270-5346 0270-5346 1","PB1008738","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427584","c17728885","0270-5346 0270-5346 1","PB1008739","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427596","c17728885","0270-5346 0270-5346 1","PB1008740","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427602","c17728885","0270-5346 0270-5346 1","PB1008741","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427614","c17728885","0270-5346 0270-5346 1","PB1008742","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427626","c17728885","0270-5346 0270-5346 1","PB1008743","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427638","c17728885","0270-5346 0270-5346 1","PB1008744","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i27542764x","c17728885","0270-5346 0270-5346 1","PB1008745","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427651","c17728885","0270-5346 0270-5346 1","PB1008746","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427663","c17728885","0270-5346 0270-5346 1","PB1008747","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427675","c17728885","0270-5346 0270-5346 1","PB1008748","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427687","c17728885","0270-5346 0270-5346 1","PB1008749","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427699","c17728885","0270-5346 0270-5346 1","PB1009247","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427705","c17728885","0270-5346 0270-5346 1","PB1009248","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427717","c17728885","0270-5346 0270-5346 1","PB1009249","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427729","c17728885","0270-5346 0270-5346 1","PB1009250","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427730","c17728885","0270-5346 0270-5346 1","PB1009251","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427742","c17728885","0270-5346 0270-5346 1","PB1009252","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427754","c17728885","0270-5346 0270-5346 1","PB1009253","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427766","c17728885","0270-5346 0270-5346 1","PB1009254","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275427778","c17728885","0270-5346 0270-5346 1","PB1009255","camera obscura","Camera obscura (Berkeley, Calif.)",,
"i275466425","c24497307","0158-4154 0158-4154","PB1012137","cantrill's filmnotes",,,
"i275466437","c24497307","0158-4154 0158-4154","PB1012138","cantrill's filmnotes",,,
"i275466449","c24497307","0158-4154 0158-4154","PB1012139","cantrill's filmnotes",,,
"i275466450","c24497307","0158-4154 0158-4154","PB1012140","cantrill's filmnotes",,,
"i275466462","c24497307","0158-4154 0158-4154","PB1012141","cantrill's filmnotes",,,
"i275466474","c24497307","0158-4154 0158-4154","PB1012142","cantrill's filmnotes",,,
"i275466486","c24497307","0158-4154 0158-4154","PB1012143","cantrill's filmnotes",,,
"i275466498","c24497307","0158-4154 0158-4154","PB1012144","cantrill's filmnotes",,,
"i275466504","c24497307","0158-4154 0158-4154","PB1012145","cantrill's filmnotes",,,
"i275466516","c24497307","0158-4154 0158-4154","PB1012146","cantrill's filmnotes",,,
"i275466528","c24497307","0158-4154 0158-4154","PB1012147","cantrill's filmnotes",,,
"i27546653x","c24497307","0158-4154 0158-4154","PB1012148","cantrill's filmnotes",,,
"i275466541","c24497307","0158-4154 0158-4154","PB1012149","cantrill's filmnotes",,,
"i275466553","c24497307","0158-4154 0158-4154","PB1012150","cantrill's filmnotes",,,
"i275466565","c24497307","0158-4154 0158-4154","PB1012151","cantrill's filmnotes",,,
"i275466577","c24497307","0158-4154 0158-4154","PB1012152","cantrill's filmnotes",,,
"i275466589","c24497307","0158-4154 0158-4154","PB1012153","cantrill's filmnotes",,,
"i275466590","c24497307","0158-4154 0158-4154","PB1012154","cantrill's filmnotes",,,
"i275466607","c24497307","0158-4154 0158-4154","PB1012155","cantrill's filmnotes",,,
"i275466619","c24497307","0158-4154 0158-4154","PB1012156","cantrill's filmnotes",,,
"i275466620","c24497307","0158-4154 0158-4154","PB1012157","cantrill's filmnotes",,,
"i275466632","c24497307","0158-4154 0158-4154","PB1012158","cantrill's filmnotes",,,
"i275466644","c24497307","0158-4154 0158-4154","PB1012159","cantrill's filmnotes",,,
"i275466656","c24497307","0158-4154 0158-4154","PB1012160","cantrill's filmnotes",,,
"i275466668","c24497307","0158-4154 0158-4154","PB1012161","cantrill's filmnotes",,,
"i27546667x","c24497307","0158-4154 0158-4154","PB1012162","cantrill's filmnotes",,,
"i275466681","c24497307","0158-4154 0158-4154","PB1012163","cantrill's filmnotes",,,
"i275466693","c24497307","0158-4154 0158-4154","PB1012164","cantrill's filmnotes",,,
"i27546670x","c24497307","0158-4154 0158-4154","PB1012165","cantrill's filmnotes",,,
"i275466711","c24497307","0158-4154 0158-4154","PB1012166","cantrill's filmnotes",,,
"i275466723","c24497307","0158-4154 0158-4154","PB1012167","cantrill's filmnotes",,,
"i275466735","c24497307","0158-4154 0158-4154","PB1012168","cantrill's filmnotes",,,
"i275466747","c24497307","0158-4154 0158-4154","PB1012169","cantrill's filmnotes",,,
"i275466759","c24497307","0158-4154 0158-4154","PB1012170","cantrill's filmnotes",,,
"i275466760","c24497307","0158-4154 0158-4154","PB1012171","cantrill's filmnotes",,,
"i275466772","c24497307","0158-4154 0158-4154","PB1012172","cantrill's filmnotes",,,
"i275466784","c24497307","0158-4154 0158-4154","PB1012173","cantrill's filmnotes",,,
"i275466796","c24497307","0158-4154 0158-4154","PB1012174","cantrill's filmnotes",,,
"i275466802","c24497307","0158-4154 0158-4154","PB1012175","cantrill's filmnotes",,,
"i275466814","c24497307","0158-4154 0158-4154","PB1012176","cantrill's filmnotes",,,
"i275466826","c24497307","0158-4154 0158-4154","PB1012177","cantrill's filmnotes",,,
"i275466838","c24497307","0158-4154 0158-4154","PB1012178","cantrill's filmnotes",,,
"i27546684x","c24497307","0158-4154 0158-4154","PB1012179","cantrill's filmnotes",,,
"i275466851","c24497307","0158-4154 0158-4154","PB1012180","cantrill's filmnotes",,,
"i275466863","c24497307","0158-4154 0158-4154","PB1012181","cantrill's filmnotes",,,
"i275466875","c24497307","0158-4154 0158-4154","PB1012182","cantrill's filmnotes",,,
"i275466887","c24497307","0158-4154 0158-4154","PB1012183","cantrill's filmnotes",,,
"i275466899","c24497307","0158-4154 0158-4154","PB1012184","cantrill's filmnotes",,,
"i275466905","c24497307","0158-4154 0158-4154","PB1012185","cantrill's filmnotes",,,
"i275466917","c24497307","0158-4154 0158-4154","PB1012186","cantrill's filmnotes",,,
"i275466929","c24497307","0158-4154 0158-4154","PB1012187","cantrill's filmnotes",,,
"i275466930","c24497307","0158-4154 0158-4154","PB1012188","cantrill's filmnotes",,,
"i275466942","c24497307","0158-4154 0158-4154","PB1012189","cantrill's filmnotes",,,
"i275466954","c24497307","0158-4154 0158-4154","PB1012190","cantrill's filmnotes",,,
"i275466966","c24497307","0158-4154 0158-4154","PB1012191","cantrill's filmnotes",,,
"i275466978","c24497307","0158-4154 0158-4154","PB1012192","cantrill's filmnotes",,,
"i275453224","c24358654","0008-5758 0008-5758 1","PB1009997","canyon cinemanews",,,
"i275450028","c24156589",,"PB1005315","champ libre",,,
"i238793357",,"1097-6604",,"chronicle of the university of california",,,
"i275488767","c24500276","1955-5970 1955-5970 7","PB1015113","ciné nice",,,
"i172076298","c24431631","0214-6606 u","PB1002118","cine y revolución cubana","Archivos de la Filmoteca :",,
"i275447546","c17734101","0704-061X","PB1005316","ciné-tracts",,,
"i275467764","c2449737x","0826-9866","PB1012193","cineaction!",,,
"i275467776","c2449737x","0826-9866","PB1012194","cineaction!",,,
"i275467788","c2449737x","0826-9866","PB1012195","cineaction!",,,
"i27546779x","c2449737x","0826-9866","PB1012196","cineaction!",,,
"i275467806","c2449737x","0826-9866","PB1012197","cineaction!",,,
"i275467818","c2449737x","0826-9866","PB1012198","cineaction!",,,
"i27546782x","c2449737x","0826-9866","PB1012199","cineaction!",,,
"i275467831","c2449737x","0826-9866","PB1012200","cineaction!",,,
"i275467843","c2449737x","0826-9866","PB1012201","cineaction!",,,
"i275467855","c2449737x","0826-9866","PB1012202","cineaction!",,,
"i275467867","c2449737x","0826-9866","PB1012203","cineaction!",,,
"i275467879","c2449737x","0826-9866","PB1012204","cineaction!",,,
"i275467892","c2449737x","0826-9866","PB1012205","cineaction!",,,
"i275467880","c2449737x","0826-9866","PB1012206","cineaction!",,,
"i275467909","c2449737x","0826-9866","PB1012207","cineaction!",,,
"i275467910","c2449737x","0826-9866","PB1012208","cineaction!",,,
"i275467922","c2449737x","0826-9866","PB1012209","cineaction!",,,
"i275467934","c2449737x","0826-9866","PB1012210","cineaction!",,,
"i275467946","c2449737x","0826-9866","PB1012211","cineaction!",,,
"i275467958","c2449737x","0826-9866","PB1012212","cineaction!",,,
"i27546796x","c2449737x","0826-9866","PB1012213","cineaction!",,,
"i275467971","c2449737x","0826-9866","PB1012214","cineaction!",,,
"i275467983","c2449737x","0826-9866","PB1012215","cineaction!",,,
"i275467995","c2449737x","0826-9866","PB1012216","cineaction!",,,
"i275468008","c2449737x","0826-9866","PB1012217","cineaction!",,,
"i27546801x","c2449737x","0826-9866","PB1012218","cineaction!",,,
"i275468021","c2449737x","0826-9866","PB1012219","cineaction!",,,
"i275468033","c2449737x","0826-9866","PB1012220","cineaction!",,,
"i275468045","c2449737x","0826-9866","PB1012221","cineaction!",,,
"i275468057","c2449737x","0826-9866","PB1012222","cineaction!",,,
"i275468069","c2449737x","0826-9866","PB1012223","cineaction!",,,
"i275468070","c2449737x","0826-9866","PB1012224","cineaction!",,,
"i275468082","c2449737x","0826-9866","PB1012225","cineaction!",,,
"i275428266","c14637327","0009-7004 0009-7004 1","PB1007562","cineaste",,,
"i275428278","c14637327","0009-7004 0009-7004 1","PB1007563","cineaste",,,
"i27542828x","c14637327","0009-7004 0009-7004 1","PB1007564","cineaste",,,
"i275428291","c14637327","0009-7004 0009-7004 1","PB1007565","cineaste",,,
"i275428308","c14637327","0009-7004 0009-7004 1","PB1007566","cineaste",,,
"i27542831x","c14637327","0009-7004 0009-7004 1","PB1007567","cineaste",,,
"i275428321","c14637327","0009-7004 0009-7004 1","PB1007568","cineaste",,,
"i275428333","c14637327","0009-7004 0009-7004 1","PB1007569","cineaste",,,
"i275428345","c14637327","0009-7004 0009-7004 1","PB1007570","cineaste",,,
"i275428357","c14637327","0009-7004 0009-7004 1","PB1007571","cineaste",,,
"i275428369","c14637327","0009-7004 0009-7004 1","PB1007572","cineaste",,,
"i275428370","c14637327","0009-7004 0009-7004 1","PB1007573","cineaste",,,
"i275428382","c14637327","0009-7004 0009-7004 1","PB1007574","cineaste",,,
"i275428394","c14637327","0009-7004 0009-7004 1","PB1007575","cineaste",,,
"i275428400","c14637327","0009-7004 0009-7004 1","PB1007576","cineaste",,,
"i275428412","c14637327","0009-7004 0009-7004 1","PB1007577","cineaste",,,
"i275428515","c14637327","0009-7004 0009-7004 1","PB1008830","cineaste",,,
"i275428540","c14637327","0009-7004 0009-7004 1","PB1009775","cineaste",,,
"i275428552","c14637327","0009-7004 0009-7004 1","PB1009777","cineaste",,,
"i275428424","c14637327","0009-7004 0009-7004 1","PB1010576","cineaste",,,
"i275428527","c14637327","0009-7004 0009-7004 1","PB1013213","cineaste",,,
"i275428539","c14637327","0009-7004 0009-7004 1","PB1013215","cineaste",,,
"i275428564","c14637327","0009-7004 0009-7004 1","PB1015231","cineaste",,,
"i275428576","c14637327","0009-7004 0009-7004 1","PB1015236","cineaste",,,
"i275428588","c14637327","0009-7004 0009-7004 1","PB1015242","cineaste",,,
"i27542859x","c14637327","0009-7004 0009-7004 1","PB1015243","cineaste",,,
"i275428606","c14637327","0009-7004 0009-7004 1","PB1015261","cineaste",,,
"i275428618","c14637327","0009-7004 0009-7004 1","PB1015266","cineaste",,,
"i27609248x","c14637327","0009-7004 0009-7004 1","PB1015817","cineaste",,,
"i27609251x","c14637327","0009-7004 0009-7004 1","PB1015818","cineaste",,,
"i276092533","c14637327","0009-7004 0009-7004 1","PB1015819","cineaste",,,
"i275557522","c14637327","0009-7004 0009-7004 1","PB1015859","cineaste",,,
"i281471496","c14637327","0009-7004 0009-7004 1","PB1015922","cineaste",,,
"i290717863","c14637327","0009-7004 0009-7004 1","PB1016051","cineaste",,,
"i290718107","c14115864","0009-7004 0009-7004 1","PB1016053","cineaste",,,
"i290896502","c14637327","0009-7004 0009-7004 1","PB1016065","cineaste",,,
"i292442233","c14637327","0009-7004 0009-7004 1","PB1016074","cineaste",,,
"i275469657","c24498282","0145-6032 1","PB1012400","cinefantastique",,,
"i275469669","c24498282","0145-6032 1","PB1012401","cinefantastique",,,
"i275469670","c24498282","0145-6032 1","PB1012402","cinefantastique",,,
"i275469682","c24498282","0145-6032 1","PB1012403","cinefantastique",,,
"i275469694","c24498282","0145-6032 1","PB1012404","cinefantastique",,,
"i275469712","c24498282","0145-6032 1","PB1012405","cinefantastique",,,
"i275469724","c24498282","0145-6032 1","PB1012406","cinefantastique",,,
"i275469700","c24498282","0145-6032 1","PB1012407","cinefantastique",,,
"i275469736","c24498282","0145-6032 1","PB1012408","cinefantastique",,,
"i275469748","c24498282","0145-6032 1","PB1012409","cinefantastique",,,
"i27546975x","c24498282","0145-6032 1","PB1012410","cinefantastique",,,
"i275469761","c24498282","0145-6032 1","PB1012411","cinefantastique",,,
"i275469773","c24498282","0145-6032 1","PB1012412","cinefantastique",,,
"i275469785","c24498282","0145-6032 1","PB1012413","cinefantastique",,,
"i275469797","c24498282","0145-6032 1","PB1012414","cinefantastique",,,
"i275469803","c24498282","0145-6032 1","PB1012415","cinefantastique",,,
"i275469815","c24498282","0145-6032 1","PB1012416","cinefantastique",,,
"i275457655","c24366675","0198-1056 1","PB1010172","cinefex",,,
"i275457667","c24366675","0198-1056 1","PB1010173","cinefex",,,
"i275457679","c24366675","0198-1056 1","PB1010174","cinefex",,,
"i275457680","c24366675","0198-1056 1","PB1010175","cinefex",,,
"i275457692","c24366675","0198-1056 1","PB1010176","cinefex",,,
"i275457709","c24366675","0198-1056 1","PB1010177","cinefex",,,
"i275457710","c24366675","0198-1056 1","PB1010178","cinefex",,,
"i275457771","c24366675","0198-1056 1","PB1010601","cinefex",,,
"i275457618","c24366675","0198-1056 1","PB1010602","cinefex",,,
"i27545762x","c24366675","0198-1056 1","PB1010603","cinefex",,,
"i275457631","c24366675","0198-1056 1","PB1010604","cinefex",,,
"i275457643","c24366675","0198-1056 1","PB1010605","cinefex",,,
"i275457722","c24366675","0198-1056 1","PB1010606","cinefex",,,
"i275457734","c24366675","0198-1056 1","PB1010607","cinefex",,,
"i275457746","c24366675","0198-1056 1","PB1010608","cinefex",,,
"i275457758","c24366675","0198-1056 1","PB1010609","cinefex",,,
"i27545776x","c24366675","0198-1056 1","PB1010610","cinefex",,,
"i275469645","c24497502",,"PB1012417","cinegrafie","Cinegrafie (Bologna, Italy)",,
"i275472590","c24500318","0009-7047 0009-7047 1","PB1012703","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472607","c24500318","0009-7047 0009-7047 1","PB1012704","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472619","c24500318","0009-7047 0009-7047 1","PB1012705","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472620","c24500318","0009-7047 0009-7047 1","PB1012706","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472632","c24500318","0009-7047 0009-7047 1","PB1012707","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472644","c24500318","0009-7047 0009-7047 1","PB1012708","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472656","c24500318","0009-7047 0009-7047 1","PB1012709","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472668","c24500318","0009-7047 0009-7047 1","PB1012710","cinema","Cinema (Beverly Hills, Calif.)",,
"i27547267x","c24500318","0009-7047 0009-7047 1","PB1012711","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472681","c24500318","0009-7047 0009-7047 1","PB1012712","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472693","c24500318","0009-7047 0009-7047 1","PB1012713","cinema","Cinema (Beverly Hills, Calif.)",,
"i27547270x","c24500318","0009-7047 0009-7047 1","PB1012714","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472711","c24500318","0009-7047 0009-7047 1","PB1012715","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472723","c24500318","0009-7047 0009-7047 1","PB1012716","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472735","c24500318","0009-7047 0009-7047 1","PB1012717","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472747","c24500318","0009-7047 0009-7047 1","PB1012718","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472759","c24500318","0009-7047 0009-7047 1","PB1012719","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472760","c24500318","0009-7047 0009-7047 1","PB1012720","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472772","c24500318","0009-7047 0009-7047 1","PB1012721","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472784","c24500318","0009-7047 0009-7047 1","PB1012722","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472796","c24500318","0009-7047 0009-7047 1","PB1012723","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472802","c24500318","0009-7047 0009-7047 1","PB1012724","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472814","c24500318","0009-7047 0009-7047 1","PB1012725","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472826","c24500318","0009-7047 0009-7047 1","PB1012726","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472838","c24500318","0009-7047 0009-7047 1","PB1012727","cinema","Cinema (Beverly Hills, Calif.)",,
"i27547284x","c24500318","0009-7047 0009-7047 1","PB1012728","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472851","c24500318","0009-7047 0009-7047 1","PB1012729","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472863","c24500318","0009-7047 0009-7047 1","PB1012730","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472875","c24500318","0009-7047 0009-7047 1","PB1012731","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472887","c24500318","0009-7047 0009-7047 1","PB1012732","cinema","Cinema (Beverly Hills, Calif.)",,
"i275472899","c24500318","0009-7047 0009-7047 1","PB1012733","cinema","Cinema (Beverly Hills, Calif.)",,
"i275447881","c19639867","0323-9942","PB1011075","cinema and time",,,
"i27544787x","c19639867","0323-9942","PB1011076","cinema and time",,,
"i275447868","c19639867","0323-9942","PB1011077","cinema and time",,,
"i275468872","c24497460","0009-7071 0009-7071 4","PB1012273","cinema canada",,,
"i275468884","c24497460","0009-7071 0009-7071 4","PB1012274","cinema canada",,,
"i275468896","c24497460","0009-7071 0009-7071 4","PB1012275","cinema canada",,,
"i275468902","c24497460","0009-7071 0009-7071 4","PB1012276","cinema canada",,,
"i275468914","c24497460","0009-7071 0009-7071 4","PB1012277","cinema canada",,,
"i275468926","c24497460","0009-7071 0009-7071 4","PB1012278","cinema canada",,,
"i275468938","c24497460","0009-7071 0009-7071 4","PB1012279","cinema canada",,,
"i27546894x","c24497460","0009-7071 0009-7071 4","PB1012280","cinema canada",,,
"i275468951","c24497460","0009-7071 0009-7071 4","PB1012281","cinema canada",,,
"i275468963","c24497460","0009-7071 0009-7071 4","PB1012282","cinema canada",,,
"i275468975","c24497460","0009-7071 0009-7071 4","PB1012283","cinema canada",,,
"i275468987","c24497460","0009-7071 0009-7071 4","PB1012284","cinema canada",,,
"i275468999","c24497460","0009-7071 0009-7071 4","PB1012285","cinema canada",,,
"i275469001","c24497460","0009-7071 0009-7071 4","PB1012286","cinema canada",,,
"i275469013","c24497460","0009-7071 0009-7071 4","PB1012287","cinema canada",,,
"i275469025","c24497460","0009-7071 0009-7071 4","PB1012288","cinema canada",,,
"i275469037","c24497460","0009-7071 0009-7071 4","PB1012289","cinema canada",,,
"i275469049","c24497460","0009-7071 0009-7071 4","PB1012290","cinema canada",,,
"i275469050","c24497460","0009-7071 0009-7071 4","PB1012291","cinema canada",,,
"i275469062","c24497460","0009-7071 0009-7071 4","PB1012292","cinema canada",,,
"i275469074","c24497460","0009-7071 0009-7071 4","PB1012293","cinema canada",,,
"i275469086","c24497460","0009-7071 0009-7071 4","PB1012294","cinema canada",,,
"i275469098","c24497460","0009-7071 0009-7071 4","PB1012295","cinema canada",,,
"i275469104","c24497460","0009-7071 0009-7071 4","PB1012296","cinema canada",,,
"i275469116","c24497460","0009-7071 0009-7071 4","PB1012297","cinema canada",,,
"i275469128","c24497460","0009-7071 0009-7071 4","PB1012298","cinema canada",,,
"i27546913x","c24497460","0009-7071 0009-7071 4","PB1012299","cinema canada",,,
"i275469141","c24497460","0009-7071 0009-7071 4","PB1012300","cinema canada",,,
"i275469153","c24497460","0009-7071 0009-7071 4","PB1012301","cinema canada",,,
"i275469165","c24497460","0009-7071 0009-7071 4","PB1012302","cinema canada",,,
"i275469177","c24497460","0009-7071 0009-7071 4","PB1012303","cinema canada",,,
"i275469189","c24497460","0009-7071 0009-7071 4","PB1012304","cinema canada",,,
"i275469190","c24497460","0009-7071 0009-7071 4","PB1012305","cinema canada",,,
"i275469207","c24497460","0009-7071 0009-7071 4","PB1012306","cinema canada",,,
"i275469219","c24497460","0009-7071 0009-7071 4","PB1012307","cinema canada",,,
"i275469220","c24497460","0009-7071 0009-7071 4","PB1012308","cinema canada",,,
"i275469232","c24497460","0009-7071 0009-7071 4","PB1012309","cinema canada",,,
"i275469244","c24497460","0009-7071 0009-7071 4","PB1012310","cinema canada",,,
"i275469256","c24497460","0009-7071 0009-7071 4","PB1012311","cinema canada",,,
"i275469268","c24497460","0009-7071 0009-7071 4","PB1012312","cinema canada",,,
"i27546927x","c24497460","0009-7071 0009-7071 4","PB1012313","cinema canada",,,
"i275469281","c24497460","0009-7071 0009-7071 4","PB1012314","cinema canada",,,
"i275469293","c24497460","0009-7071 0009-7071 4","PB1012315","cinema canada",,,
"i27546930x","c24497460","0009-7071 0009-7071 4","PB1012316","cinema canada",,,
"i275469311","c24497460","0009-7071 0009-7071 4","PB1012317","cinema canada",,,
"i275469323","c24497460","0009-7071 0009-7071 4","PB1012383","cinema canada",,,
"i275469335","c24497460","0009-7071 0009-7071 4","PB1012384","cinema canada",,,
"i275469347","c24497460","0009-7071 0009-7071 4","PB1012385","cinema canada",,,
"i275469359","c24497460","0009-7071 0009-7071 4","PB1012386","cinema canada",,,
"i275469360","c24497460","0009-7071 0009-7071 4","PB1012387","cinema canada",,,
"i275469372","c24497460","0009-7071 0009-7071 4","PB1012388","cinema canada",,,
"i275469384","c24497460","0009-7071 0009-7071 4","PB1012389","cinema canada",,,
"i275469396","c24497460","0009-7071 0009-7071 4","PB1012390","cinema canada",,,
"i275469402","c24497460","0009-7071 0009-7071 4","PB1012391","cinema canada",,,
"i275469414","c24497460","0009-7071 0009-7071 4","PB1012392","cinema canada",,,
"i275469426","c24497460","0009-7071 0009-7071 4","PB1012393","cinema canada",,,
"i275469438","c24497460","0009-7071 0009-7071 4","PB1012394","cinema canada",,,
"i27546944x","c24497460","0009-7071 0009-7071 4","PB1012395","cinema canada",,,
"i275469451","c24497460","0009-7071 0009-7071 4","PB1012396","cinema canada",,,
"i275469463","c24497460","0009-7071 0009-7071 4","PB1012397","cinema canada",,,
"i275469475","c24497460","0009-7071 0009-7071 4","PB1012398","cinema canada",,,
"i275469487","c24497460","0009-7071 0009-7071 4","PB1012399","cinema canada",,,
"i100885895","c14969269","0578-2953",,"cinéma d'aujourd'hui",,,
"i100885901","c14969269","0578-2953",,"cinéma d'aujourd'hui",,,
"i100885913","c14969269","0578-2953",,"cinéma d'aujourd'hui",,,
"i132039588","c14969269","0578-2953",,"cinéma d'aujourd'hui",,,
"i275422082","c19725395","0970-3276 0970-3276 20","PB1011116","cinema in india",,,
"i275422094","c19725395","0970-3276 0970-3276 20","PB1011117","cinema in india",,,
"i275427870","c17399798","0009-7101 1","PB1007578","cinema journal",,,
"i275427882","c17399798","0009-7101 1","PB1007579","cinema journal",,,
"i275427973","c17399798","0009-7101 1","PB1007580","cinema journal",,,
"i275427985","c17399798","0009-7101 1","PB1007581","cinema journal",,,
"i275427997","c17399798","0009-7101 1","PB1007582","cinema journal",,,
"i27542800x","c17399798","0009-7101 1","PB1007583","cinema journal",,,
"i275428023","c17399798","0009-7101 1","PB1007584","cinema journal",,,
"i275428035","c17399798","0009-7101 1","PB1007585","cinema journal",,,
"i275428047","c17399798","0009-7101 1","PB1007586","cinema journal",,,
"i275428059","c17399798","0009-7101 1","PB1007587","cinema journal",,,
"i275428060","c17399798","0009-7101 1","PB1007588","cinema journal",,,
"i275428072","c17399798","0009-7101 1","PB1007589","cinema journal",,,
"i275428084","c17399798","0009-7101 1","PB1007590","cinema journal",,,
